Aug 01 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 01 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 01 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 01 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 01 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 02:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Full to Down
Aug 02 02:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.3.1 state changed from Down to Full
Aug 02 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 02 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 02 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 02 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 02 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 00:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Full to Down
Aug 03 00:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Down to Full
Aug 03 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 03:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 04:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 05:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 06:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 07:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 08:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 09:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 10:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 11:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 12:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 13:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 14:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 15:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 16:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 16:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Full to Down
Aug 03 16:00:00 Router: %OSPF-5-ADJCHG: Process 1, Nbr 10.0.1.1 state changed from Down to Full
Aug 03 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 17:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 18:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 19:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 20:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 21:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 22:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 03 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 03 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 03 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 03 23:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 00:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
Aug 04 01:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/3, changed state to up
Aug 04 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/0, changed state to up
Aug 04 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/1, changed state to up
Aug 04 02:00:00 Router: %LINK-3-UPDOWN: Interface Gig0/2, changed state to up
